candidate_id,candidate,parti,camp,year_week,week_start,n_replies,n_soutien,n_critique,n_hostilite,n_ironie,n_inconnu,pct_soutien,pct_critique,pct_hostilite,pct_ironie,net_support,polarization
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W08,2025-02-17,8,6,2,0,0,0,75.0,25.0,0.0,0.0,75.0,0.0
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W17,2025-04-21,2,1,1,0,0,0,50.0,50.0,0.0,0.0,50.0,0.0
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W21,2025-05-19,3,3,0,0,0,0,100.0,0.0,0.0,0.0,100.0,0.0
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W26,2025-06-23,11,4,3,3,1,0,36.36,27.27,27.27,9.09,0.0,36.36
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W30,2025-07-21,14,5,7,2,0,0,35.71,50.0,14.29,0.0,21.43,14.29
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W39,2025-09-22,2,1,1,0,0,0,50.0,50.0,0.0,0.0,50.0,0.0
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W43,2025-10-20,8,5,1,1,1,0,62.5,12.5,12.5,12.5,37.5,25.0
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W47,2025-11-17,18,6,8,3,1,0,33.33,44.44,16.67,5.56,11.11,22.22
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2025-W51,2025-12-15,16,5,5,5,1,0,31.25,31.25,31.25,6.25,-6.25,37.5
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2026-W04,2026-01-19,27,10,9,5,3,0,37.04,33.33,18.52,11.11,7.41,29.63
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2026-W05,2026-01-26,9,2,5,0,2,0,22.22,55.56,0.0,22.22,0.0,22.22
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2026-W06,2026-02-02,3,0,2,0,1,0,0.0,66.67,0.0,33.33,-33.33,33.33
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2026-W07,2026-02-09,5,0,2,3,0,0,0.0,40.0,60.0,0.0,-60.0,60.0
pierre_yves_bournazel,Bournazel,Horizons,Centre-droit,2026-W08,2026-02-16,6,0,5,1,0,0,0.0,83.33,16.67,0.0,-16.67,16.67
rachida_dati,Dati,LR,Droite,2025-W06,2025-02-03,19,8,7,3,1,0,42.11,36.84,15.79,5.26,21.05,21.05
rachida_dati,Dati,LR,Droite,2025-W08,2025-02-17,2,0,2,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
rachida_dati,Dati,LR,Droite,2025-W16,2025-04-14,10,2,4,4,0,0,20.0,40.0,40.0,0.0,-20.0,40.0
