author,dominant_candidate,dominant_camp,n_candidates_engaged,candidates_list,eng_david_belliard,eng_emmanuel_gregoire,eng_ian_brossat,eng_pierre_yves_bournazel,eng_rachida_dati,eng_sarah_knafo,eng_sophia_chikirou,eng_thierry_mariani,community,comm_dominant_candidate
mat29777,sarah_knafo,Droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,sarah_knafo,sarah_knafo
mathieuruault,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
mathonchri49279,rachida_dati,Droite,4,"david_belliard,ian_brossat,rachida_dati,sarah_knafo",1,0,1,0,1,1,0,0,rachida_dati,rachida_dati
mathzefencer,david_belliard,Gauche,2,"david_belliard,pierre_yves_bournazel",1,0,0,1,0,0,0,0,david_belliard,david_belliard
matouecureuil,pierre_yves_bournazel,Centre-droit,4,"pierre_yves_bournazel,rachida_dati,sarah_knafo,thierry_mariani",0,0,0,1,1,1,0,1,pierre_yves_bournazel,pierre_yves_bournazel
matt8motivation,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
matt_rdj,david_belliard,Gauche,2,"david_belliard,ian_brossat",1,0,1,0,0,0,0,0,david_belliard,david_belliard
mattdelacourt,sarah_knafo,Droite,3,"rachida_dati,sarah_knafo,thierry_mariani",0,0,0,0,1,1,0,1,sarah_knafo,sarah_knafo
matteofz75,sarah_knafo,Droite,3,"ian_brossat,sarah_knafo,thierry_mariani",0,0,1,0,0,1,0,1,sarah_knafo,sarah_knafo
matthieurober12,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
mauduitf,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
maup49,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,thierry_mariani",0,0,0,1,0,0,0,1,pierre_yves_bournazel,pierre_yves_bournazel
maurad_m,sarah_knafo,Droite,2,"pierre_yves_bournazel,sarah_knafo",0,0,0,1,0,1,0,0,sarah_knafo,sarah_knafo
maureldaniele,sophia_chikirou,Gauche radicale,2,"ian_brossat,sophia_chikirou",0,0,1,0,0,0,1,0,sophia_chikirou,sophia_chikirou
