candidate_id,candidate_label,year_week,total_replies,pct_soutien,pct_hostilite,pct_critique,pct_ironie,pct_neutre,pct_negative
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W06,15,0.0667,0.0,0.0,0.0,0.9333,0.0
pierre_yves_bournazel,P-Y. Bournazel (Horizons),2026-W07,35,0.0,0.0,0.0,0.0,1.0,0.0
rachida_dati,R. Dati (LR),2025-W29,20,0.0,0.1,0.0,0.1,0.8,0.2
rachida_dati,R. Dati (LR),2025-W30,172,0.0116,0.0116,0.0174,0.0,0.9593,0.0116
rachida_dati,R. Dati (LR),2025-W31,301,0.0365,0.0,0.0,0.0,0.9635,0.0
rachida_dati,R. Dati (LR),2025-W32,161,0.0373,0.0,0.0,0.0,0.9627,0.0
rachida_dati,R. Dati (LR),2025-W33,238,0.0252,0.0,0.0,0.0,0.9748,0.0
rachida_dati,R. Dati (LR),2025-W34,145,0.0207,0.0276,0.0207,0.0069,0.9241,0.0345
rachida_dati,R. Dati (LR),2025-W35,180,0.0167,0.0222,0.0222,0.0056,0.9333,0.0278
rachida_dati,R. Dati (LR),2025-W36,6,0.0,0.0,0.0,0.0,1.0,0.0
rachida_dati,R. Dati (LR),2025-W37,10,0.0,0.0,0.0,0.0,1.0,0.0
rachida_dati,R. Dati (LR),2025-W39,26,0.0769,0.0,0.0,0.0,0.9231,0.0
rachida_dati,R. Dati (LR),2025-W42,15,0.0,0.0,0.0,0.0,1.0,0.0
rachida_dati,R. Dati (LR),2025-W43,331,0.0181,0.0211,0.0332,0.003,0.9245,0.0242
rachida_dati,R. Dati (LR),2025-W44,314,0.0159,0.0,0.0,0.0,0.9841,0.0
rachida_dati,R. Dati (LR),2025-W45,518,0.0347,0.0097,0.0097,0.0,0.9459,0.0097
rachida_dati,R. Dati (LR),2025-W46,318,0.066,0.0252,0.0126,0.0,0.8962,0.0252
rachida_dati,R. Dati (LR),2025-W47,436,0.0367,0.0,0.0,0.0,0.9633,0.0
rachida_dati,R. Dati (LR),2025-W48,362,0.0387,0.0083,0.011,0.0028,0.9392,0.011
rachida_dati,R. Dati (LR),2025-W49,266,0.0376,0.0,0.0,0.0,0.9624,0.0
rachida_dati,R. Dati (LR),2025-W50,272,0.0662,0.011,0.0074,0.0037,0.9118,0.0147
rachida_dati,R. Dati (LR),2025-W51,406,0.0296,0.0074,0.0049,0.0025,0.9557,0.0099
