week,topic_name,n_tweets,avg_eng
2025-06-23,Social & solidarite,7,248.7142857142857
2025-06-23,Securite & delinquance,15,2490.2
2025-06-23,Logement & urbanisme,18,2425.722222222222
2025-06-23,Education & culture,15,5065.6
2025-06-23,Deux / Emmanuel / Peuple,14,688.7857142857143
2025-06-23,Budget & finances,21,2715.5238095238096
2025-06-23,Arrondissement / Liberté / Gauche,19,482.6842105263158
2025-06-23,Geopolitique & international,19,2179.894736842105
2025-06-30,Geopolitique & international,12,2080.083333333333
2025-06-30,Arrondissement / Liberté / Gauche,22,1088.5454545454545
2025-06-30,Budget & finances,14,2900.1428571428573
2025-06-30,Deux / Emmanuel / Peuple,9,470.55555555555554
2025-06-30,Education & culture,18,2487.555555555556
2025-06-30,Logement & urbanisme,16,1227.5
2025-06-30,Securite & delinquance,15,1627.7333333333331
2025-06-30,Social & solidarite,16,594.3125
2025-06-30,Soutien / Jour / France,12,1263.25
2025-06-30,Vie locale & citoyennete,10,217.6
2025-07-07,Social & solidarite,9,3823.8888888888887
2025-07-07,Securite & delinquance,15,496.0
2025-07-07,Vie locale & citoyennete,6,211.5
2025-07-07,Soutien / Jour / France,12,1565.6666666666667
2025-07-07,Logement & urbanisme,11,631.7272727272727
2025-07-07,Arrondissement / Liberté / Gauche,7,626.7142857142857
2025-07-07,Education & culture,13,1763.5384615384614
2025-07-07,Deux / Emmanuel / Peuple,9,3830.222222222222
2025-07-07,Budget & finances,19,2675.7894736842104
2025-07-07,Geopolitique & international,14,2584.0714285714284
2025-07-14,Vie locale & citoyennete,8,324.5
2025-07-14,Soutien / Jour / France,10,1010.6
2025-07-14,Social & solidarite,10,4854.4
2025-07-14,Securite & delinquance,7,7031.285714285715
2025-07-14,Logement & urbanisme,11,148.0909090909091
2025-07-14,Education & culture,10,3971.2
2025-07-14,Deux / Emmanuel / Peuple,2,179.5
2025-07-14,Budget & finances,16,9163.0625
2025-07-14,Arrondissement / Liberté / Gauche,5,2161.6
2025-07-14,Geopolitique & international,21,1838.047619047619
2025-07-21,Securite & delinquance,7,8809.0
2025-07-21,Vie locale & citoyennete,11,1105.0
2025-07-21,Soutien / Jour / France,7,3507.8571428571427
2025-07-21,Social & solidarite,9,1142.3333333333333
2025-07-21,Logement & urbanisme,10,3020.8
2025-07-21,Arrondissement / Liberté / Gauche,6,2194.1666666666665
2025-07-21,Education & culture,18,1838.2777777777776
2025-07-21,Deux / Emmanuel / Peuple,3,2289.0
2025-07-21,Budget & finances,11,1322.8181818181818
2025-07-21,Geopolitique & international,19,2351.368421052632
2025-07-28,Securite & delinquance,4,902.75
2025-07-28,Vie locale & citoyennete,4,174.25
2025-07-28,Soutien / Jour / France,5,6726.2
2025-07-28,Social & solidarite,7,485.0
2025-07-28,Logement & urbanisme,11,6453.727272727273
2025-07-28,Deux / Emmanuel / Peuple,1,10.0
2025-07-28,Education & culture,9,1128.888888888889
2025-07-28,Geopolitique & international,16,4169.25
2025-07-28,Budget & finances,7,6808.714285714285
2025-07-28,Arrondissement / Liberté / Gauche,2,639.5
2025-08-04,Soutien / Jour / France,9,1815.6666666666667
2025-08-04,Social & solidarite,2,88.0
2025-08-04,Securite & delinquance,5,7255.0
2025-08-04,Logement & urbanisme,3,2103.0
2025-08-04,Geopolitique & international,10,772.7
2025-08-04,Education & culture,8,737.0
2025-08-04,Deux / Emmanuel / Peuple,1,61.0
2025-08-04,Budget & finances,12,7520.333333333333
2025-08-04,Arrondissement / Liberté / Gauche,4,11765.5
2025-08-11,Vie locale & citoyennete,3,704.0
2025-08-11,Soutien / Jour / France,7,4941.857142857143
