author1,author2,n_co_timings,candidates
AmourLiber48632,gerard_beg70446,2,Knafo
Marie85945855,MissUggy,2,Knafo
Marie85945855,lololol76546879,2,Knafo
Charlenry17,Thierrybardos,2,Knafo
Charlenry17,KeSalah99195,2,Knafo
Charlenry17,Lototoooo,2,Knafo
Charlenry17,JohhnS95722,2,Knafo
ilsosentout,yarGLucy,2,Knafo
R6913Bc,dfbert,2,Knafo
SylvieNellinge1,kris_honneur,2,Knafo
DomiPiussan,EricviiImmortel,2,Knafo
albator8475,stannislask51,2,Belliard
Gdams70,PrincedeCannes,2,Knafo
haraldvonh,marjeta605,2,Brossat
BoulatFranck,DAVdom3,2,Knafo
Saumonnette69,jack_verdier,2,Knafo
R2DZisback,R6913Bc,2,Knafo
R6913Bc,_JCAlain,2,Knafo
R6913Bc,Volkhiar,2,Knafo
Babylone771,SIsthme,2,Knafo
Encora67,SIsthme,2,Knafo
hounoz,soafer,2,Knafo
SylvieNellinge1,reginegarciadi1,2,Knafo
BoulatFranck,R6913Bc,2,Knafo
BidalGontr33527,SancerreP,2,Knafo
DomiPiussan,soafer,2,Knafo
Bahsief93,wande7872,2,Knafo
Babylone771,Bahsief93,2,Knafo
DonZlatano,RocheteauDomin2,2,Knafo
Charlenry17,romuald_correia,2,Knafo
mh2p_,world_chill,2,Belliard
Samuel_Lafont,soafer,2,Knafo
Samuel_Lafont,a_pastoi,2,Knafo
PrincedeCannes,crockett_sonny2,2,Knafo
Danhalakha,PrincedeCannes,2,Knafo
Justine26941986,Steph_owb,2,Knafo
Philippe163638,R6913Bc,2,Knafo
EvelyneMirial58,moha96791,2,Knafo
R6913Bc,jack_verdier,2,Knafo
Charlenry17,neveu_matthieu,2,Knafo
Danhalakha,Samuel_Lafont,2,Knafo
Francoise_M75,Julien80212371,2,Knafo
FrancModeOn,Samuel_Lafont,2,Knafo
Michel_Zed_,PetitgandMarie1,2,Knafo
PolChemin,Toma_Cersei,2,Knafo
cbiget,mh2p_,2,Belliard
haddock_bzh,world_chill,2,Belliard
eelv.paris16,haddock_bzh,2,Belliard
cherry_art_art_art,haddock_bzh,2,Belliard
cbiget,haddock_bzh,2,Belliard
haddock_bzh,jeanlouisneboux,2,Belliard
drlx75,haddock_bzh,2,Belliard
diego_devale,haraldvonh,2,Brossat
albator8475,world_chill,2,Belliard
AdressePip61241,bmchristophe,2,Dati
cbiget,world_chill,2,"Belliard,Gregoire"
dfbert,mladenb1969,2,Knafo
BonnelieY,tybert2018,1,Belliard
Lepetitfut4,frechy_sarah,1,Belliard
KadoKero,RoussetDauge,1,Belliard
AlainPaul75,Maverick75003,1,Belliard
LOZINJF,PhilippeBansil1,1,Belliard
FiselJulie,HedelAnne,1,Belliard
PierreB57082927,Zeppajacky,1,Belliard
PhLachaise,seb_sph,1,Belliard
AlexieDelalande,didi4954,1,Belliard
AbFablancien,EmmanuelSPV,1,Belliard
drlx75,v.hunyor,1,Belliard
drlx75,lege_gele,1,Belliard
drlx75,paris_reviens,1,Belliard
bernard.roy.9619,drlx75,1,Belliard
chaubardjen,drlx75,1,Belliard
bersaut24,drlx75,1,Belliard
bernard.roy.9619,cherry_art_art_art,1,Belliard
mh2p_,v.hunyor,1,Belliard
bersaut24,v.hunyor,1,Belliard
mh2p_,paris_reviens,1,Belliard
bernard.roy.9619,mh2p_,1,Belliard
chaubardjen,lege_gele,1,Belliard
chaubardjen,paris_reviens,1,Belliard
bernard.roy.9619,chaubardjen,1,Belliard
bernard.roy.9619,bersaut24,1,Belliard
bersaut24,chaubardjen,1,Belliard
AngeleBatisti,DavidCornee,1,Belliard
Antiextremess,lubayle,1,Belliard
Eggius_Galia,unZsinonrien,1,Belliard
2300Chri72687,Zugaramurdi64,1,Belliard
Maverick75003,______Greg,1,Belliard
AngeleBatisti,Politpassion39,1,Belliard
Floralutece15,link_indra,1,Belliard
VigneDe,link_indra,1,Belliard
jeanlouisneboux,nr22.69,1,Belliard
Aclark1989,HedelAnne,1,Belliard
Fred67intl,quick_frexit,1,Bournazel
Fred67intl,PascalPlaza,1,Bournazel
PascalPlaza,pensezbibi,1,Bournazel
Fred67intl,pensezbibi,1,Bournazel
AlbertRalebol,Swannpok,1,Bournazel
PedroP0875,Rahexphon33,1,Bournazel
Christi22158497,chumunue,1,Bournazel
ebascle,philyan33,1,Bournazel
QuibusL2,martine_live,1,Bournazel
Samuel_Lafont,de_chardin,1,Bournazel
IMA27B2,elanglin2,1,Bournazel
Zouave73,papanamaxx,1,Bournazel
GerardPouzoulet,martonola,1,Bournazel
38vercors,SetbouneD,1,Bournazel
Joyce_Siporah,Naty75018,1,Bournazel
MaurandMartine3,RubenParis17,1,Bournazel
KINGDHARMA1,VitoBond,1,Bournazel
Liryc_CZ,ebascle,1,Bournazel
adhemar39480,elanglin2,1,Bournazel
Liryc_CZ,adhemar39480,1,Bournazel
ogelin,thierrMT,1,Bournazel
ChrRousseau,jeff7128200427,1,Bournazel
PAT223986916,bmchristophe,1,Bournazel
DavidCornee,RigautYann,1,Bournazel
All_FredRic,bricehardelin,1,Bournazel
AngeleBatisti,didtdoun,1,Bournazel
CTrudaine,didtdoun,1,Bournazel
AngeleBatisti,CTrudaine,1,Bournazel
pyh_pierre,troubatjeannoel,1,Bournazel
OlivierAbergel,SetbouneD,1,Bournazel
mdfranza,pybournazel,1,Bournazel
patriceidfrance,patriciapo91002,1,Bournazel
Ju_111_S,TimickDF,1,Bournazel
moussaint,onsenfout75020,1,Bournazel
DomCroixGalerne,GeorgePappas8,1,Bournazel
CTrudaine,barbouille7,1,Bournazel
CTrudaine,MARRYAL,1,Bournazel
ganbrid,jakguion,1,Bournazel
JFH92650951,time_scoop,1,Bournazel
AlexieDelalande,F_Liblin,1,Bournazel
AMarcilly_TMKT,conileetmax,1,Bournazel
RGerolstein,moussaint,1,Bournazel
BMym75,Pompier_75,1,Bournazel
ThomassinMarti4,marchand4,1,Bournazel
BarnyAlfred,papanamaxx,1,Bournazel
FranceFoyerLaic,jeanlouis235590,1,Bournazel
BMym75,recherche_nom,1,Bournazel
GeorgesZe16,TheReganAngle,1,Bournazel
DavidCornee,RubenParis17,1,Bournazel
Liryc_CZ,RVertbois,1,Bournazel
RVertbois,calphilippe,1,Bournazel
Liryc_CZ,calphilippe,1,Bournazel
agoralith,nicole_berger,1,Bournazel
AlexieDelalande,aimeparis_j,1,Bournazel
AlexieDelalande,cafenoisette75,1,Bournazel
Girolata20,Parisensei66966,1,Bournazel
Grumozz,papanamaxx,1,Bournazel
AlexieDelalande,leChat65163641,1,Bournazel
GUILPAINCh77157,RubenParis17,1,Bournazel
PejanJd,ganbrid,1,Bournazel
EmmaRacc,MaximeLisbonn,1,Bournazel
Lambda_987,az16110,1,Bournazel
BlocCentral75,Smarti11e,1,Bournazel
FranceFoyerLaic,mraffko,1,Bournazel
marc_paris_x,soudaniesp,1,Bournazel
FranceFoyerLaic,didtdoun,1,Bournazel
All_FredRic,grossmustache,1,Bournazel
bourganne,domdumoulin,1,Bournazel
PedroP0875,chomel78066335,1,Bournazel
Castigl61884520,LEROYERICK,1,Bournazel
MacronardsFM,seat_23,1,Bournazel
AlexieDelalande,cbiget,1,Bournazel
CapAdrien,cbiget,1,Bournazel
1parisienaparis,KINGDHARMA1,1,Bournazel
Kasiuta,Pompier_75,1,Bournazel
ElseDavid18811,Kasiuta,1,Bournazel
